User-ID,ISBN,Book-Rating
276744,038550120X,3.5
276747,0060517794,4.5
276755,0451166892,2.5
276788,043935806X,3.5
276796,0330332775,2.5
276804,0440498058,4.0
276837,0380005239,2.5
276847,3551551685,5.0
276847,3551551693,5.0
276850,0449217264,3.5
276861,3423201509,5.0
276875,8817106100,3.0
276896,0440241537,5.0
276928,059030271X,2.5
276929,2266104535,1.0
276939,2253063339,4.5
276953,0446310786,5.0
276957,0312966970,3.0
276986,0375760911,5.0
276988,0061083259,3.5
276988,0061094404,4.0
276988,0671793489,4.0
276994,3423202327,3.0
277018,0373250223,3.5
277036,0880381736,4.5
277051,0385720920,5.0
277051,0553262505,3.5
277087,8472230082,2.5
277096,0064407667,3.5
277124,0440241073,4.5
277143,031286504X,5.0
277157,0345452550,3.5
277157,0425183181,2.5
277157,0671024094,3.5
277157,074320607X,3.5
277171,0451173139,3.5
277188,0140254188,4.0
277195,0330332775,5.0
277197,0440225442,4.0
277228,0061044636,3.0
277237,038550926X,3.5
277261,0440241073,3.5
277284,0553581929,3.5
277363,0060393823,0.5
277378,0312195516,3.5
277378,0446608955,2.0
277378,0670892963,3.5
277427,0380702843,4.0
277427,0440185327,2.5
277427,0440428130,4.0
277427,0446600415,5.0
277427,0451203593,5.0
277427,0553571656,5.0
277427,0553581929,4.5
277427,0671037692,4.0
277427,0671528904,4.0
277427,0671876821,4.0
277427,0743406176,4.0
277427,0743412028,4.5
277427,0743422082,4.5
277427,0743444477,4.5
277427,0786866845,5.0
277427,0836217691,5.0
277427,0890876517,5.0
277439,0345452550,2.5
277462,0312195516,5.0
277478,0312113420,3.5
277478,0312979533,3.5
277478,0752853694,5.0
277509,1400030382,4.5
277523,0312289723,5.0
277523,0316603570,5.0
277523,0440241537,5.0
277523,0671886665,5.0
277523,0743206045,5.0
277527,0679439382,3.5
277562,0140043519,4.5
277575,0446301582,4.5
277586,0312202318,1.0
277588,8408039369,3.0
277601,0312421273,1.5
277623,0786890436,2.0
277629,0440241073,4.0
277639,0425142485,3.5
277639,0440211727,4.0
277639,0553297260,4.0
277641,0375406328,3.5
277648,0679745580,4.0
277665,3453007867,4.5
277710,0451210840,2.5
277710,0553582763,3.0
277711,0553282980,2.5
277711,1573227889,5.0
277712,8817106100,4.5
277740,185326086X,5.0
277743,0446310786,4.5
277744,0312421273,3.5
277744,0929634063,5.0
277783,0380778556,4.0
277794,0440967694,4.0
277795,0064406601,2.5
277803,0142001740,4.0
277827,0380778556,4.5
277828,0380778556,4.0
277873,042518336X,2.5
277873,0767903579,3.5
277884,0380789019,3.5
277919,0451206460,4.5
277928,0679751602,5.0
277937,0316168815,3.5
277937,0684848406,3.0
277937,0743225325,3.0
277937,0743237188,3.5
277945,0312983301,3.0
277945,0515121843,3.5
277945,0515124214,3.5
277945,0515136379,3.5
277958,0142001740,4.5
277959,0767905385,3.0
277965,0316789089,2.5
277965,0679457526,4.5
277965,0786866845,4.5
277965,0786881852,3.5
277969,0446527785,4.0
277982,0743420373,4.0
277989,1558745157,3.0
278007,0821766570,2.5
278026,0061031410,4.0
278026,0380820889,4.0
278026,038533558X,4.5
278026,0446531588,2.5
278026,0515130389,4.0
278026,0684810387,4.0
278026,0743206045,3.5
278075,044900371X,3.5
278085,0374270325,3.5
278107,0446605239,4.0
278112,0385472951,4.0
278119,044661162X,4.5
278122,0375727345,5.0
278131,0060958022,4.0
278137,0060002492,3.5
278137,0345337662,3.5
278137,0670894508,2.0
278137,0671434225,4.0
278139,325722575X,4.0
278194,0060926317,4.0
278194,0140280553,2.5
278194,0156011042,3.5
278194,0440241537,3.5
278202,0312252617,2.0
278202,0385497466,1.5
278202,0399148019,1.5
278202,0553104039,1.5
278202,0671510126,5.0
278218,0060977493,3.5
278221,0440216745,3.5
278221,0553582755,4.5
278255,0440241162,4.0
278257,0451153553,4.0
278259,0451163494,4.5
278259,0451173139,5.0
278350,0312195516,4.5
278356,0374270325,4.5
278356,0439064872,4.0
278356,043935806X,5.0
278356,0671016768,4.0
278388,0786886323,4.0
278418,042513525X,2.5
278418,0440184622,3.5
278418,0440207622,3.5
278418,0515130389,4.0
278418,0515131229,4.0
278422,0385475721,4.0
278461,0843949090,5.0
278469,0743237188,3.5
278492,0316158720,3.5
278522,0425137937,3.5
278529,031284879X,3.5
278534,044900371X,3.0
278535,0446610038,5.0
278536,0312113420,3.0
278541,0142001740,4.5
278543,0446605239,2.5
278551,0590660543,2.5
278556,0671028375,3.5
278582,0425163717,3.5
278582,0425191583,4.0
278582,0441478123,5.0
278582,0449003183,4.0
278586,0553575090,4.0
278633,0060987561,5.0
278633,0439324599,4.5
278633,0553278355,4.0
278698,0440241073,5.0
278724,0679735909,4.0
278732,0786867647,4.0
278767,0553574078,3.0
278800,0312995423,4.5
